File Name: 	eil101.tsp
CrossOver 	 Muation 	 Populationsize 	 Generationsize 	 TimeCost(ms) 	 Distance 	 Standard Deviation 
2	 2 	 50 	 10000 	 1486.0 	 487.3416371825974 	 1.1175866816195221
2	 2 	 50 	 10000 	 1501.0 	 463.5270012861708 	 1.0629742334418333
2	 2 	 50 	 10000 	 1500.0 	 486.2983842182573 	 1.1151942621553306
2	 2 	 50 	 10000 	 1494.0 	 486.8835389846043 	 1.1165361568830954
2	 2 	 50 	 10000 	 1500.0 	 466.10829117278575 	 1.0688937260083984
2	 2 	 50 	 10000 	 1490.0 	 468.4754288930724 	 1.0743221183063467
2	 2 	 50 	 10000 	 1487.0 	 470.91996483733885 	 1.0799280025682507
2	 2 	 50 	 10000 	 1484.0 	 478.52819574643036 	 1.0973754293546074
2	 2 	 50 	 10000 	 1488.0 	 459.7837955147139 	 1.054390199988574
2	 2 	 50 	 10000 	 1496.0 	 455.66630972260305 	 1.0449478561953707
2	 2 	 50 	 10000 	 1500.0 	 458.43052860407363 	 1.0512868471030061
File Name: 	eil76.tsp
CrossOver 	 Muation 	 Populationsize 	 Generationsize 	 TimeCost(ms) 	 Distance 	 Standard Deviation 
2	 2 	 50 	 10000 	 2245.0 	 610.6637252761961 	 1.1087399686326838
2	 2 	 50 	 10000 	 2229.0 	 628.1328785045616 	 1.1404575041612552
2	 2 	 50 	 10000 	 2227.0 	 624.1804527043249 	 1.1332813574926521
2	 2 	 50 	 10000 	 2237.0 	 629.3118803999477 	 1.1425981365099622
2	 2 	 50 	 10000 	 2237.0 	 621.5775147316722 	 1.1285553827103012
2	 2 	 50 	 10000 	 2228.0 	 620.8661965037987 	 1.1272638913100161
2	 2 	 50 	 10000 	 2244.0 	 604.0616128445513 	 1.0967529688693352
2	 2 	 50 	 10000 	 2235.0 	 612.4898143407238 	 1.1120554724825469
2	 2 	 50 	 10000 	 2238.0 	 624.15713206591 	 1.1332390158194294
2	 2 	 50 	 10000 	 2242.0 	 634.5921313297165 	 1.1521851235994554
2	 2 	 50 	 10000 	 2295.0 	 621.4489102870459 	 1.1283218844984393
2	 2 	 50 	 10000 	 2250.0 	 627.0136105617898 	 1.1384253266265587
2	 2 	 50 	 10000 	 2253.0 	 621.3551035582294 	 1.1281515660969026
2	 2 	 50 	 10000 	 2259.0 	 623.0011396464677 	 1.1311401601877273
2	 2 	 50 	 10000 	 2261.0 	 618.2224528542088 	 1.1224638284770823
2	 2 	 50 	 10000 	 2236.0 	 619.0487060631136 	 1.1239639993878556
2	 2 	 50 	 10000 	 2234.0 	 630.20431682427 	 1.1442184717159911
2	 2 	 50 	 10000 	 2231.0 	 632.6304709821145 	 1.1486234723301179
2	 2 	 50 	 10000 	 2235.0 	 610.7757056163147 	 1.108943283605641
2	 2 	 50 	 10000 	 2232.0 	 603.1606244224569 	 1.0951171063913412
2	 2 	 50 	 10000 	 2237.0 	 641.289647306681 	 1.1643453409938287
2	 2 	 50 	 10000 	 2241.0 	 630.0215397472626 	 1.1438866159953387
2	 2 	 50 	 10000 	 2253.0 	 618.003203772648 	 1.1220657530556177
2	 2 	 50 	 10000 	 2252.0 	 614.9582051671764 	 1.1165371593000444
2	 2 	 50 	 10000 	 2258.0 	 629.0056051247207 	 1.142042053636537
2	 2 	 50 	 10000 	 2224.0 	 630.0451768320288 	 1.1439295322183554
2	 2 	 50 	 10000 	 2222.0 	 619.2741308763656 	 1.1243732876590082
2	 2 	 50 	 10000 	 2238.0 	 616.8787646356539 	 1.1200241865405665
2	 2 	 50 	 10000 	 2227.0 	 653.5000605161629 	 1.1865149453087893
2	 2 	 50 	 10000 	 2226.0 	 662.7303494536226 	 1.2032737437168017
File Name: 	kroA100.tsp
CrossOver 	 Muation 	 Populationsize 	 Generationsize 	 TimeCost(ms) 	 Distance 	 Standard Deviation 
2	 2 	 50 	 10000 	 3028.0 	 28568.01423929215 	 1.3242160311111524
2	 2 	 50 	 10000 	 3043.0 	 25741.6269573936 	 1.1932042177779385
2	 2 	 50 	 10000 	 3053.0 	 25771.340756432255 	 1.194581544486845
2	 2 	 50 	 10000 	 3049.0 	 28447.222084022473 	 1.3186169402152728
2	 2 	 50 	 10000 	 3037.0 	 28195.543909524433 	 1.30695087653442
2	 2 	 50 	 10000 	 3045.0 	 28991.15804090473 	 1.3438300582138838
2	 2 	 50 	 10000 	 3032.0 	 27872.11291730424 	 1.291958847292601
2	 2 	 50 	 10000 	 3030.0 	 27505.99668157906 	 1.2749882246747175
2	 2 	 50 	 10000 	 3033.0 	 27134.21393905429 	 1.2577549418984635
2	 2 	 50 	 10000 	 3047.0 	 28313.022563242277 	 1.3123963763603252
2	 2 	 50 	 10000 	 3027.0 	 29614.937989415317 	 1.3727441927695614
2	 2 	 50 	 10000 	 3037.0 	 29004.99681430776 	 1.3444715282662894
2	 2 	 50 	 10000 	 3086.0 	 26401.960346939726 	 1.2238127176544287
2	 2 	 50 	 10000 	 3031.0 	 27591.849286387238 	 1.2789677590815323
2	 2 	 50 	 10000 	 3069.0 	 27783.532925059746 	 1.2878528900222308
2	 2 	 50 	 10000 	 3036.0 	 27857.002760704396 	 1.2912584446872777
2	 2 	 50 	 10000 	 3027.0 	 26609.42958237584 	 1.2334295599461484
2	 2 	 50 	 10000 	 3031.0 	 28288.635120383857 	 1.3112659427739926
2	 2 	 50 	 10000 	 3035.0 	 27937.00107731121 	 1.2949666146855603
2	 2 	 50 	 10000 	 3039.0 	 28192.53111433669 	 1.3068112241367191
2	 2 	 50 	 10000 	 3037.0 	 26199.59489587812 	 1.2144324515920348
2	 2 	 50 	 10000 	 3029.0 	 27015.76666836879 	 1.2522645436730464
2	 2 	 50 	 10000 	 3041.0 	 25739.251024044723 	 1.19309408590097
2	 2 	 50 	 10000 	 3053.0 	 28078.58431360073 	 1.301529436646539
2	 2 	 50 	 10000 	 3029.0 	 28174.695107726173 	 1.3059844699322858
2	 2 	 50 	 10000 	 3042.0 	 26399.114568176698 	 1.2236808069858245
2	 2 	 50 	 10000 	 3043.0 	 26718.89020264287 	 1.2385033990628207
2	 2 	 50 	 10000 	 3041.0 	 26140.93100394677 	 1.2117131983218505
2	 2 	 50 	 10000 	 3043.0 	 27016.81355677043 	 1.2523130701961929
2	 2 	 50 	 10000 	 3027.0 	 26807.298201606758 	 1.2426013839113939
File Name: 	kroC100.tsp
CrossOver 	 Muation 	 Populationsize 	 Generationsize 	 TimeCost(ms) 	 Distance 	 Standard Deviation 
2	 2 	 50 	 10000 	 3026.0 	 27554.500856048013 	 1.3258145320013124
2	 2 	 50 	 10000 	 3026.0 	 25736.591067172933 	 1.2383438415123211
2	 2 	 50 	 10000 	 3032.0 	 24868.26344431628 	 1.1965633212649796
2	 2 	 50 	 10000 	 3048.0 	 28850.963874645968 	 1.388195248648632
2	 2 	 50 	 10000 	 3032.0 	 27148.97421521553 	 1.3063021802320598
2	 2 	 50 	 10000 	 3022.0 	 27659.380921937172 	 1.3308609495067336
2	 2 	 50 	 10000 	 3034.0 	 27337.628926331887 	 1.3153795051611257
2	 2 	 50 	 10000 	 3070.0 	 27974.50262082683 	 1.346023369973702
2	 2 	 50 	 10000 	 3042.0 	 27594.464722618053 	 1.327737436550748
2	 2 	 50 	 10000 	 3032.0 	 27221.507560959 	 1.309792200404944
2	 2 	 50 	 10000 	 3026.0 	 26798.65014723971 	 1.2894459598033665
2	 2 	 50 	 10000 	 3032.0 	 28903.100754617393 	 1.3907038708690251
2	 2 	 50 	 10000 	 3033.0 	 29079.451256010605 	 1.3991891654745894
2	 2 	 50 	 10000 	 3034.0 	 26075.315768474084 	 1.2546419459011109
2	 2 	 50 	 10000 	 3038.0 	 27890.037581471654 	 1.3419592434918546
2	 2 	 50 	 10000 	 3034.0 	 29937.65952493927 	 1.4404827820918387
2	 2 	 50 	 10000 	 3030.0 	 28002.897746337392 	 1.3473896320677456
2	 2 	 50 	 10000 	 3042.0 	 26369.03524647732 	 1.2687745754233424
2	 2 	 50 	 10000 	 3027.0 	 27724.8128555469 	 1.3340092775744394
2	 2 	 50 	 10000 	 3024.0 	 27758.21636728934 	 1.3356165235746253
2	 2 	 50 	 10000 	 3036.0 	 26674.56946024948 	 1.2834756837017676
2	 2 	 50 	 10000 	 3022.0 	 27334.148458778236 	 1.315212038710367
2	 2 	 50 	 10000 	 3028.0 	 25901.46298878116 	 1.2462768318694732
2	 2 	 50 	 10000 	 3054.0 	 27311.660717929546 	 1.3141300168016838
2	 2 	 50 	 10000 	 3026.0 	 26284.16465213881 	 1.2646909352259954
2	 2 	 50 	 10000 	 3049.0 	 28467.182984061226 	 1.3697292171099051
2	 2 	 50 	 10000 	 3036.0 	 26428.928967384367 	 1.271656426412734
2	 2 	 50 	 10000 	 3036.0 	 27580.88833269559 	 1.3270841939046425
2	 2 	 50 	 10000 	 3024.0 	 28266.221701830273 	 1.3600597482364405
2	 2 	 50 	 10000 	 3043.0 	 28157.901449313467 	 1.3548478024404667
File Name: 	kroD100.tsp
CrossOver 	 Muation 	 Populationsize 	 Generationsize 	 TimeCost(ms) 	 Distance 	 Standard Deviation 
2	 2 	 50 	 10000 	 3027.0 	 27918.314506856048 	 1.2889607441292394
2	 2 	 50 	 10000 	 3045.0 	 26742.60757764929 	 1.234679527475702
2	 2 	 50 	 10000 	 3024.0 	 27308.889232011366 	 1.2608241868323415
2	 2 	 50 	 10000 	 3037.0 	 24503.30202063256 	 1.1312930226637372
2	 2 	 50 	 10000 	 3034.0 	 28088.635056632727 	 1.2968242740900735
2	 2 	 50 	 10000 	 3032.0 	 27868.186326291754 	 1.2866463760141396
2	 2 	 50 	 10000 	 3026.0 	 26973.67520953531 	 1.2453476896481301
2	 2 	 50 	 10000 	 3027.0 	 28647.098273880438 	 1.3226079640007105
2	 2 	 50 	 10000 	 3035.0 	 27577.25543331391 	 1.2732143867652608
2	 2 	 50 	 10000 	 3045.0 	 27488.37198222183 	 1.269110726451803
2	 2 	 50 	 10000 	 3029.0 	 26704.998991745797 	 1.2329431765631171
2	 2 	 50 	 10000 	 3049.0 	 27545.21850154566 	 1.271735273568743
2	 2 	 50 	 10000 	 3053.0 	 27133.63239740932 	 1.2527327535229664
2	 2 	 50 	 10000 	 3055.0 	 26495.10750511264 	 1.2232526959028098
2	 2 	 50 	 10000 	 3027.0 	 27009.36660748323 	 1.2469955259043863
2	 2 	 50 	 10000 	 3021.0 	 25269.377623693676 	 1.166661969422268
2	 2 	 50 	 10000 	 3029.0 	 26192.056449609932 	 1.2092611308348686
2	 2 	 50 	 10000 	 3027.0 	 27462.74619409224 	 1.2679276093646914
2	 2 	 50 	 10000 	 3025.0 	 27724.42659471517 	 1.280009132546477
2	 2 	 50 	 10000 	 3028.0 	 27632.42626474623 	 1.2757615690430366
2	 2 	 50 	 10000 	 3048.0 	 28673.326280495556 	 1.3238188849148418
2	 2 	 50 	 10000 	 3026.0 	 27655.46356368785 	 1.276825178165257
2	 2 	 50 	 10000 	 3053.0 	 27413.9731823776 	 1.265675808044175
2	 2 	 50 	 10000 	 3050.0 	 26584.511449936912 	 1.2273803868929118
2	 2 	 50 	 10000 	 3040.0 	 26450.700494811266 	 1.2212024685143132
2	 2 	 50 	 10000 	 3037.0 	 26963.28701061084 	 1.2448680768616
2	 2 	 50 	 10000 	 3029.0 	 28201.815269997238 	 1.3020496916919562
2	 2 	 50 	 10000 	 3056.0 	 26979.310534622524 	 1.245607866988565
2	 2 	 50 	 10000 	 3046.0 	 26305.375156099424 	 1.2144929425262438
2	 2 	 50 	 10000 	 3037.0 	 26466.948440051783 	 1.2219526199456487
File Name: 	lin105.tsp
CrossOver 	 Muation 	 Populationsize 	 Generationsize 	 TimeCost(ms) 	 Distance 	 Standard Deviation 
2	 2 	 50 	 10000 	 3161.0 	 18633.141755875244 	 1.2682287405519952
2	 2 	 50 	 10000 	 3166.0 	 17793.325425406 	 1.2110682669700146
2	 2 	 50 	 10000 	 3169.0 	 19278.811415833177 	 1.3121749966578873
2	 2 	 50 	 10000 	 3199.0 	 18046.085601821625 	 1.2282718993148505
2	 2 	 50 	 10000 	 3170.0 	 20183.52552457395 	 1.37375261194792
2	 2 	 50 	 10000 	 3164.0 	 19238.442862179803 	 1.3094273891621422
2	 2 	 50 	 10000 	 3187.0 	 17767.56891817649 	 1.2093152001414214
2	 2 	 50 	 10000 	 3159.0 	 20154.16985531792 	 1.3717545751199707
2	 2 	 50 	 10000 	 3164.0 	 19066.436680306637 	 1.29772012120582
2	 2 	 50 	 10000 	 3170.0 	 19151.250959228495 	 1.3034928409944182
2	 2 	 50 	 10000 	 3170.0 	 19206.47973893836 	 1.3072518810238098
2	 2 	 50 	 10000 	 3175.0 	 19652.270215067445 	 1.3375937472264323
2	 2 	 50 	 10000 	 3172.0 	 19225.854420474618 	 1.3085705812347164
2	 2 	 50 	 10000 	 3186.0 	 18438.297970816373 	 1.2549670753230662
2	 2 	 50 	 10000 	 3160.0 	 18712.225389703566 	 1.273611415070464
2	 2 	 50 	 10000 	 3183.0 	 18475.6887810993 	 1.2575120084779048
2	 2 	 50 	 10000 	 3170.0 	 18469.06788096542 	 1.2570613697209994
2	 2 	 50 	 10000 	 3158.0 	 19814.243373521625 	 1.348618136856528
2	 2 	 50 	 10000 	 3166.0 	 19666.71727634303 	 1.3385770584986947
2	 2 	 50 	 10000 	 3197.0 	 19444.777644341117 	 1.3234711668750445
2	 2 	 50 	 10000 	 3171.0 	 19173.32512533097 	 1.3049952763991213
2	 2 	 50 	 10000 	 3178.0 	 18779.70847178776 	 1.278204520480249
2	 2 	 50 	 10000 	 3180.0 	 19256.759715532422 	 1.3106740903445093
2	 2 	 50 	 10000 	 3170.0 	 17644.603464409272 	 1.2009457944552637
2	 2 	 50 	 10000 	 3183.0 	 18557.65818634079 	 1.2630910974439633
2	 2 	 50 	 10000 	 3172.0 	 17434.055334400316 	 1.186615243373472
2	 2 	 50 	 10000 	 3170.0 	 19330.600399951552 	 1.315699913655967
2	 2 	 50 	 10000 	 3175.0 	 18062.529985376816 	 1.229391154463477
2	 2 	 50 	 10000 	 3168.0 	 19663.594155108603 	 1.3383644892947664
2	 2 	 50 	 10000 	 3165.0 	 18452.57114835242 	 1.2559385515350425
File Name: 	pcb442.tsp
CrossOver 	 Muation 	 Populationsize 	 Generationsize 	 TimeCost(ms) 	 Distance 	 Standard Deviation 
2	 2 	 50 	 10000 	 24444.0 	 170787.69805839384 	 3.3336943344299876
2	 2 	 50 	 10000 	 24526.0 	 176813.30910747335 	 3.4513113855651754
2	 2 	 50 	 10000 	 24399.0 	 176850.97316957318 	 3.452046570077065
2	 2 	 50 	 10000 	 24360.0 	 166686.9462355583 	 3.25364961649008
2	 2 	 50 	 10000 	 24374.0 	 183440.22108654134 	 3.5806655438010435
2	 2 	 50 	 10000 	 24350.0 	 178135.1344954633 	 3.4771127861176976
2	 2 	 50 	 10000 	 24305.0 	 180246.30487016847 	 3.518321823988591
2	 2 	 50 	 10000 	 24405.0 	 177597.90257739654 	 3.4666262755440744
2	 2 	 50 	 10000 	 24501.0 	 169563.1339887947 	 3.3097914283812546
2	 2 	 50 	 10000 	 24373.0 	 175272.5653055676 	 3.4212368020816206
2	 2 	 50 	 10000 	 24421.0 	 173924.71009955727 	 3.3949273119076135
2	 2 	 50 	 10000 	 24389.0 	 169012.88591348703 	 3.2990508486320214
2	 2 	 50 	 10000 	 24314.0 	 179888.43590025304 	 3.511336392537507
2	 2 	 50 	 10000 	 24341.0 	 173405.99117661695 	 3.384802166161012
2	 2 	 50 	 10000 	 24342.0 	 179606.52750353588 	 3.5058336752127324
2	 2 	 50 	 10000 	 24332.0 	 174301.77892692992 	 3.402287515410518
2	 2 	 50 	 10000 	 24257.0 	 183142.92587209903 	 3.5748624831397273
2	 2 	 50 	 10000 	 24264.0 	 179539.37870242694 	 3.504522962670989
2	 2 	 50 	 10000 	 24339.0 	 167396.7273681982 	 3.267504205359577
2	 2 	 50 	 10000 	 24331.0 	 174082.74587845296 	 3.398012094867576
2	 2 	 50 	 10000 	 24344.0 	 185439.34158895363 	 3.6196874216558297
2	 2 	 50 	 10000 	 24388.0 	 177925.4177836199 	 3.4730192160183533
2	 2 	 50 	 10000 	 24464.0 	 172396.41509156962 	 3.365095722938459
2	 2 	 50 	 10000 	 24489.0 	 182863.2554784608 	 3.569403450566662
2	 2 	 50 	 10000 	 24461.0 	 182384.28824035646 	 3.560054238731158
2	 2 	 50 	 10000 	 24385.0 	 179234.84453672578 	 3.4985786011368742
2	 2 	 50 	 10000 	 24449.0 	 179203.09087625286 	 3.4979587848431986
2	 2 	 50 	 10000 	 24495.0 	 175081.93766229542 	 3.417515841487931
2	 2 	 50 	 10000 	 24408.0 	 174814.6353130387 	 3.412298227236861
2	 2 	 50 	 10000 	 24620.0 	 173571.5395438284 	 3.388033591258494
File Name: 	pr2392.tsp
CrossOver 	 Muation 	 Populationsize 	 Generationsize 	 TimeCost(ms) 	 Distance 	 Standard Deviation 
2	 2 	 50 	 10000 	 472959.0 	 5247088.552608882 	 13.875209618246092
2	 2 	 50 	 10000 	 473690.0 	 5381347.2698552525 	 14.230238473999632
2	 2 	 50 	 10000 	 472531.0 	 5364664.477954895 	 14.186123107484626
2	 2 	 50 	 10000 	 476863.0 	 5308751.903100338 	 14.038269933553126
2	 2 	 50 	 10000 	 473209.0 	 5155362.213438295 	 13.63265183200987
2	 2 	 50 	 10000 	 479177.0 	 5266980.274137505 	 13.927810561247178
2	 2 	 50 	 10000 	 472746.0 	 5303255.44015988 	 14.02373528739781
2	 2 	 50 	 10000 	 472621.0 	 5247612.727935615 	 13.876595728364535
2	 2 	 50 	 10000 	 473543.0 	 5244654.500819103 	 13.868773100457945
2	 2 	 50 	 10000 	 473302.0 	 5210981.450313167 	 13.779729313685309
2	 2 	 50 	 10000 	 472231.0 	 5341389.498513494 	 14.124575600639282
2	 2 	 50 	 10000 	 473270.0 	 5243846.066948002 	 13.866635307411087
2	 2 	 50 	 10000 	 472706.0 	 5358489.948613113 	 14.169795407265301
2	 2 	 50 	 10000 	 473550.0 	 5277444.578747066 	 13.955481986745541
2	 2 	 50 	 10000 	 474519.0 	 5384199.051083155 	 14.23777962028024
2	 2 	 50 	 10000 	 474788.0 	 5219051.714063013 	 13.801070024839873
2	 2 	 50 	 10000 	 474928.0 	 5256534.362522742 	 13.900187773513503
2	 2 	 50 	 10000 	 473364.0 	 5243756.137438372 	 13.866397501095362
2	 2 	 50 	 10000 	 473614.0 	 5172780.43738923 	 13.678711948219767
2	 2 	 50 	 10000 	 480728.0 	 5246369.023861482 	 13.873306922666167
2	 2 	 50 	 10000 	 487528.0 	 5125510.545177178 	 13.55371316908767
2	 2 	 50 	 10000 	 475965.0 	 5334065.637989431 	 14.105208650955225
2	 2 	 50 	 10000 	 477572.0 	 5268506.405852586 	 13.931846208299728
2	 2 	 50 	 10000 	 476076.0 	 5194725.509798372 	 13.736742697407912
2	 2 	 50 	 10000 	 475925.0 	 5264904.223058626 	 13.922320727483402
2	 2 	 50 	 10000 	 476342.0 	 5315099.988239692 	 14.055056578394332
2	 2 	 50 	 10000 	 475461.0 	 5431492.7915884275 	 14.362841462969234
2	 2 	 50 	 10000 	 476239.0 	 5160953.279182381 	 13.647436642369135
2	 2 	 50 	 10000 	 476797.0 	 5332560.537471458 	 14.101228618033346
2	 2 	 50 	 10000 	 476840.0 	 5253622.457163636 	 13.89248763717294
File Name: 	st70.tsp
CrossOver 	 Muation 	 Populationsize 	 Generationsize 	 TimeCost(ms) 	 Distance 	 Standard Deviation 
2	 2 	 50 	 10000 	 1999.0 	 798.8080528478904 	 1.1625088925381823
2	 2 	 50 	 10000 	 1975.0 	 736.7220674468637 	 1.0721548833699335
2	 2 	 50 	 10000 	 1979.0 	 783.1803163609985 	 1.1397657785053614
2	 2 	 50 	 10000 	 1974.0 	 741.6240561461543 	 1.0792887692061246
2	 2 	 50 	 10000 	 1999.0 	 773.5076406010817 	 1.125689090688491
2	 2 	 50 	 10000 	 1978.0 	 748.6150072879685 	 1.0894627313246645
2	 2 	 50 	 10000 	 1977.0 	 753.4685064057854 	 1.0965260500584615
2	 2 	 50 	 10000 	 1966.0 	 787.780527907363 	 1.1464604867161008
2	 2 	 50 	 10000 	 1982.0 	 779.6270850949529 	 1.1345947453274958
2	 2 	 50 	 10000 	 1979.0 	 812.6908514394863 	 1.182712590733899
2	 2 	 50 	 10000 	 1973.0 	 780.2137284018679 	 1.1354484899268464
2	 2 	 50 	 10000 	 2000.0 	 761.1186263253704 	 1.1076593034148776
2	 2 	 50 	 10000 	 1981.0 	 777.1127147286122 	 1.1309355710119833
2	 2 	 50 	 10000 	 1973.0 	 722.9430444441707 	 1.05210221024776
2	 2 	 50 	 10000 	 1981.0 	 787.3632898118 	 1.1458532782701314
2	 2 	 50 	 10000 	 1967.0 	 738.3176352715625 	 1.0744769202826152
2	 2 	 50 	 10000 	 1987.0 	 801.3203546961365 	 1.1661650565301624
2	 2 	 50 	 10000 	 1979.0 	 771.3017234033955 	 1.1224788096336487
2	 2 	 50 	 10000 	 1978.0 	 756.0176740155465 	 1.1002358649562363
2	 2 	 50 	 10000 	 1984.0 	 757.4295231669693 	 1.1022905352710883
2	 2 	 50 	 10000 	 1973.0 	 786.3580663800698 	 1.1443903721637045
2	 2 	 50 	 10000 	 1987.0 	 742.4937621836465 	 1.0805544562493063
2	 2 	 50 	 10000 	 1971.0 	 757.2732458011805 	 1.1020631041294215
2	 2 	 50 	 10000 	 1986.0 	 793.5188153871277 	 1.1548114418665707
2	 2 	 50 	 10000 	 1973.0 	 773.254719692913 	 1.1253210137721321
2	 2 	 50 	 10000 	 1971.0 	 758.6181831675107 	 1.1040203974274692
2	 2 	 50 	 10000 	 1975.0 	 729.9200182863533 	 1.0622558311403225
2	 2 	 50 	 10000 	 1975.0 	 783.6412791607843 	 1.1404366197067861
2	 2 	 50 	 10000 	 1970.0 	 746.8837575540996 	 1.0869432359294293
2	 2 	 50 	 10000 	 1988.0 	 791.013637334982 	 1.151165645166565
