File Name: 	eil101.tsp
Test GA with Populationsize:	20	 Generationsize:	[I@4554617c	 in 	242.0ms
Test GP with Populationsize:	20	 Generationsize:	[I@4554617c	 in 	524.0ms
Test DS with Populationsize:	20	 Generationsize:	[I@4554617c	 in 	496.0ms
Test GA with Populationsize:	20	 Generationsize:	[I@4554617c	 in 	1077.0ms
Test GP with Populationsize:	20	 Generationsize:	[I@4554617c	 in 	1049.0ms
Test DS with Populationsize:	20	 Generationsize:	[I@4554617c	 in 	1006.0ms
Test GA with Populationsize:	50	 Generationsize:	[I@4554617c	 in 	275.0ms
Test GP with Populationsize:	50	 Generationsize:	[I@4554617c	 in 	261.0ms
Test DS with Populationsize:	50	 Generationsize:	[I@4554617c	 in 	251.0ms
Test GA with Populationsize:	50	 Generationsize:	[I@4554617c	 in 	678.0ms
Test GP with Populationsize:	50	 Generationsize:	[I@4554617c	 in 	655.0ms
Test DS with Populationsize:	50	 Generationsize:	[I@4554617c	 in 	618.0ms
Test GA with Populationsize:	50	 Generationsize:	[I@4554617c	 in 	1364.0ms
Test GP with Populationsize:	50	 Generationsize:	[I@4554617c	 in 	1309.0ms
Test DS with Populationsize:	50	 Generationsize:	[I@4554617c	 in 	1228.0ms
Test GA with Populationsize:	50	 Generationsize:	[I@4554617c	 in 	2757.0ms
Test GP with Populationsize:	50	 Generationsize:	[I@4554617c	 in 	2603.0ms
Test DS with Populationsize:	50	 Generationsize:	[I@4554617c	 in 	2474.0ms
Test GA with Populationsize:	100	 Generationsize:	[I@4554617c	 in 	539.0ms
Test GP with Populationsize:	100	 Generationsize:	[I@4554617c	 in 	530.0ms
Test DS with Populationsize:	100	 Generationsize:	[I@4554617c	 in 	495.0ms
Test GA with Populationsize:	100	 Generationsize:	[I@4554617c	 in 	1346.0ms
Test GP with Populationsize:	100	 Generationsize:	[I@4554617c	 in 	1311.0ms
Test DS with Populationsize:	100	 Generationsize:	[I@4554617c	 in 	1231.0ms
Test GA with Populationsize:	100	 Generationsize:	[I@4554617c	 in 	2698.0ms
Test GP with Populationsize:	100	 Generationsize:	[I@4554617c	 in 	2616.0ms
Test DS with Populationsize:	100	 Generationsize:	[I@4554617c	 in 	2475.0ms
Test GA with Populationsize:	100	 Generationsize:	[I@4554617c	 in 	5385.0ms
Test GP with Populationsize:	100	 Generationsize:	[I@4554617c	 in 	5230.0ms
Test DS with Populationsize:	100	 Generationsize:	[I@4554617c	 in 	4926.0ms
Test GA with Populationsize:	200	 Generationsize:	[I@4554617c	 in 	1118.0ms
Test GP with Populationsize:	200	 Generationsize:	[I@4554617c	 in 	1053.0ms
Test DS with Populationsize:	200	 Generationsize:	[I@4554617c	 in 	1013.0ms
Test GA with Populationsize:	200	 Generationsize:	[I@4554617c	 in 	2709.0ms
Test GP with Populationsize:	200	 Generationsize:	[I@4554617c	 in 	2637.0ms
Test DS with Populationsize:	200	 Generationsize:	[I@4554617c	 in 	2510.0ms
Test GA with Populationsize:	200	 Generationsize:	[I@4554617c	 in 	5425.0ms
Test GP with Populationsize:	200	 Generationsize:	[I@4554617c	 in 	5246.0ms
Test DS with Populationsize:	200	 Generationsize:	[I@4554617c	 in 	5050.0ms
Test GA with Populationsize:	200	 Generationsize:	[I@4554617c	 in 	10792.0ms
Test GP with Populationsize:	200	 Generationsize:	[I@4554617c	 in 	10515.0ms
Test DS with Populationsize:	200	 Generationsize:	[I@4554617c	 in 	10153.0ms
File Name: 	kroC100.tsp
Test GA with Populationsize:	20	 Generationsize:	[I@4554617c	 in 	109.0ms
Test GP with Populationsize:	20	 Generationsize:	[I@4554617c	 in 	110.0ms
Test DS with Populationsize:	20	 Generationsize:	[I@4554617c	 in 	103.0ms
Test GA with Populationsize:	20	 Generationsize:	[I@4554617c	 in 	275.0ms
Test GP with Populationsize:	20	 Generationsize:	[I@4554617c	 in 	260.0ms
Test DS with Populationsize:	20	 Generationsize:	[I@4554617c	 in 	251.0ms
Test GA with Populationsize:	20	 Generationsize:	[I@4554617c	 in 	541.0ms
Test GP with Populationsize:	20	 Generationsize:	[I@4554617c	 in 	528.0ms
Test DS with Populationsize:	20	 Generationsize:	[I@4554617c	 in 	496.0ms
Test GA with Populationsize:	20	 Generationsize:	[I@4554617c	 in 	1073.0ms
Test GP with Populationsize:	20	 Generationsize:	[I@4554617c	 in 	1046.0ms
Test DS with Populationsize:	20	 Generationsize:	[I@4554617c	 in 	986.0ms
Test GA with Populationsize:	50	 Generationsize:	[I@4554617c	 in 	274.0ms
Test GP with Populationsize:	50	 Generationsize:	[I@4554617c	 in 	262.0ms
Test DS with Populationsize:	50	 Generationsize:	[I@4554617c	 in 	248.0ms
Test GA with Populationsize:	50	 Generationsize:	[I@4554617c	 in 	673.0ms
Test GP with Populationsize:	50	 Generationsize:	[I@4554617c	 in 	656.0ms
Test DS with Populationsize:	50	 Generationsize:	[I@4554617c	 in 	617.0ms
Test GA with Populationsize:	50	 Generationsize:	[I@4554617c	 in 	1339.0ms
Test GP with Populationsize:	50	 Generationsize:	[I@4554617c	 in 	1313.0ms
Test DS with Populationsize:	50	 Generationsize:	[I@4554617c	 in 	1225.0ms
Test GA with Populationsize:	50	 Generationsize:	[I@4554617c	 in 	2684.0ms
Test GP with Populationsize:	50	 Generationsize:	[I@4554617c	 in 	2603.0ms
Test DS with Populationsize:	50	 Generationsize:	[I@4554617c	 in 	2441.0ms
Test GA with Populationsize:	100	 Generationsize:	[I@4554617c	 in 	544.0ms
Test GP with Populationsize:	100	 Generationsize:	[I@4554617c	 in 	530.0ms
Test DS with Populationsize:	100	 Generationsize:	[I@4554617c	 in 	498.0ms
Test GA with Populationsize:	100	 Generationsize:	[I@4554617c	 in 	1352.0ms
Test GP with Populationsize:	100	 Generationsize:	[I@4554617c	 in 	1314.0ms
Test DS with Populationsize:	100	 Generationsize:	[I@4554617c	 in 	1240.0ms
Test GA with Populationsize:	100	 Generationsize:	[I@4554617c	 in 	2685.0ms
Test GP with Populationsize:	100	 Generationsize:	[I@4554617c	 in 	2642.0ms
Test DS with Populationsize:	100	 Generationsize:	[I@4554617c	 in 	2480.0ms
Test GA with Populationsize:	100	 Generationsize:	[I@4554617c	 in 	5400.0ms
Test GP with Populationsize:	100	 Generationsize:	[I@4554617c	 in 	5224.0ms
Test DS with Populationsize:	100	 Generationsize:	[I@4554617c	 in 	4919.0ms
Test GA with Populationsize:	200	 Generationsize:	[I@4554617c	 in 	1089.0ms
Test GP with Populationsize:	200	 Generationsize:	[I@4554617c	 in 	1052.0ms
Test DS with Populationsize:	200	 Generationsize:	[I@4554617c	 in 	1037.0ms
Test GA with Populationsize:	200	 Generationsize:	[I@4554617c	 in 	2699.0ms
Test GP with Populationsize:	200	 Generationsize:	[I@4554617c	 in 	2636.0ms
Test DS with Populationsize:	200	 Generationsize:	[I@4554617c	 in 	2536.0ms
Test GA with Populationsize:	200	 Generationsize:	[I@4554617c	 in 	5410.0ms
Test GP with Populationsize:	200	 Generationsize:	[I@4554617c	 in 	5248.0ms
Test DS with Populationsize:	200	 Generationsize:	[I@4554617c	 in 	5023.0ms
Test GA with Populationsize:	200	 Generationsize:	[I@4554617c	 in 	10819.0ms
Test GP with Populationsize:	200	 Generationsize:	[I@4554617c	 in 	10467.0ms
Test DS with Populationsize:	200	 Generationsize:	[I@4554617c	 in 	10066.0ms
File Name: 	kroD100.tsp
Test GA with Populationsize:	20	 Generationsize:	[I@4554617c	 in 	110.0ms
Test GP with Populationsize:	20	 Generationsize:	[I@4554617c	 in 	107.0ms
Test DS with Populationsize:	20	 Generationsize:	[I@4554617c	 in 	103.0ms
Test GA with Populationsize:	20	 Generationsize:	[I@4554617c	 in 	270.0ms
Test GP with Populationsize:	20	 Generationsize:	[I@4554617c	 in 	267.0ms
Test DS with Populationsize:	20	 Generationsize:	[I@4554617c	 in 	251.0ms
Test GA with Populationsize:	20	 Generationsize:	[I@4554617c	 in 	543.0ms
Test GP with Populationsize:	20	 Generationsize:	[I@4554617c	 in 	540.0ms
Test DS with Populationsize:	20	 Generationsize:	[I@4554617c	 in 	530.0ms
Test GA with Populationsize:	20	 Generationsize:	[I@4554617c	 in 	1082.0ms
Test GP with Populationsize:	20	 Generationsize:	[I@4554617c	 in 	1049.0ms
Test DS with Populationsize:	20	 Generationsize:	[I@4554617c	 in 	986.0ms
Test GA with Populationsize:	50	 Generationsize:	[I@4554617c	 in 	274.0ms
Test GP with Populationsize:	50	 Generationsize:	[I@4554617c	 in 	263.0ms
Test DS with Populationsize:	50	 Generationsize:	[I@4554617c	 in 	250.0ms
Test GA with Populationsize:	50	 Generationsize:	[I@4554617c	 in 	674.0ms
Test GP with Populationsize:	50	 Generationsize:	[I@4554617c	 in 	657.0ms
Test DS with Populationsize:	50	 Generationsize:	[I@4554617c	 in 	610.0ms
Test GA with Populationsize:	50	 Generationsize:	[I@4554617c	 in 	1343.0ms
Test GP with Populationsize:	50	 Generationsize:	[I@4554617c	 in 	1307.0ms
Test DS with Populationsize:	50	 Generationsize:	[I@4554617c	 in 	1236.0ms
Test GA with Populationsize:	50	 Generationsize:	[I@4554617c	 in 	2683.0ms
Test GP with Populationsize:	50	 Generationsize:	[I@4554617c	 in 	2613.0ms
Test DS with Populationsize:	50	 Generationsize:	[I@4554617c	 in 	2449.0ms
Test GA with Populationsize:	100	 Generationsize:	[I@4554617c	 in 	541.0ms
Test GP with Populationsize:	100	 Generationsize:	[I@4554617c	 in 	524.0ms
Test DS with Populationsize:	100	 Generationsize:	[I@4554617c	 in 	495.0ms
Test GA with Populationsize:	100	 Generationsize:	[I@4554617c	 in 	1350.0ms
Test GP with Populationsize:	100	 Generationsize:	[I@4554617c	 in 	1305.0ms
Test DS with Populationsize:	100	 Generationsize:	[I@4554617c	 in 	1352.0ms
Test GA with Populationsize:	100	 Generationsize:	[I@4554617c	 in 	2676.0ms
Test GP with Populationsize:	100	 Generationsize:	[I@4554617c	 in 	2622.0ms
Test DS with Populationsize:	100	 Generationsize:	[I@4554617c	 in 	2464.0ms
Test GA with Populationsize:	100	 Generationsize:	[I@4554617c	 in 	5358.0ms
Test GP with Populationsize:	100	 Generationsize:	[I@4554617c	 in 	5218.0ms
Test DS with Populationsize:	100	 Generationsize:	[I@4554617c	 in 	4984.0ms
Test GA with Populationsize:	200	 Generationsize:	[I@4554617c	 in 	1084.0ms
Test GP with Populationsize:	200	 Generationsize:	[I@4554617c	 in 	1050.0ms
Test DS with Populationsize:	200	 Generationsize:	[I@4554617c	 in 	1014.0ms
Test GA with Populationsize:	200	 Generationsize:	[I@4554617c	 in 	2702.0ms
Test GP with Populationsize:	200	 Generationsize:	[I@4554617c	 in 	2622.0ms
Test DS with Populationsize:	200	 Generationsize:	[I@4554617c	 in 	2520.0ms
Test GA with Populationsize:	200	 Generationsize:	[I@4554617c	 in 	5408.0ms
Test GP with Populationsize:	200	 Generationsize:	[I@4554617c	 in 	5243.0ms
Test DS with Populationsize:	200	 Generationsize:	[I@4554617c	 in 	5045.0ms
Test GA with Populationsize:	200	 Generationsize:	[I@4554617c	 in 	10892.0ms
Test GP with Populationsize:	200	 Generationsize:	[I@4554617c	 in 	10492.0ms
Test DS with Populationsize:	200	 Generationsize:	[I@4554617c	 in 	10247.0ms
File Name: 	lin105.tsp
Test GA with Populationsize:	20	 Generationsize:	[I@4554617c	 in 	115.0ms
Test GP with Populationsize:	20	 Generationsize:	[I@4554617c	 in 	112.0ms
Test DS with Populationsize:	20	 Generationsize:	[I@4554617c	 in 	105.0ms
Test GA with Populationsize:	20	 Generationsize:	[I@4554617c	 in 	282.0ms
Test GP with Populationsize:	20	 Generationsize:	[I@4554617c	 in 	273.0ms
Test DS with Populationsize:	20	 Generationsize:	[I@4554617c	 in 	259.0ms
Test GA with Populationsize:	20	 Generationsize:	[I@4554617c	 in 	562.0ms
Test GP with Populationsize:	20	 Generationsize:	[I@4554617c	 in 	548.0ms
Test DS with Populationsize:	20	 Generationsize:	[I@4554617c	 in 	519.0ms
Test GA with Populationsize:	20	 Generationsize:	[I@4554617c	 in 	1121.0ms
Test GP with Populationsize:	20	 Generationsize:	[I@4554617c	 in 	1076.0ms
Test DS with Populationsize:	20	 Generationsize:	[I@4554617c	 in 	1031.0ms
Test GA with Populationsize:	50	 Generationsize:	[I@4554617c	 in 	285.0ms
Test GP with Populationsize:	50	 Generationsize:	[I@4554617c	 in 	276.0ms
Test DS with Populationsize:	50	 Generationsize:	[I@4554617c	 in 	272.0ms
Test GA with Populationsize:	50	 Generationsize:	[I@4554617c	 in 	695.0ms
Test GP with Populationsize:	50	 Generationsize:	[I@4554617c	 in 	679.0ms
Test DS with Populationsize:	50	 Generationsize:	[I@4554617c	 in 	700.0ms
Test GA with Populationsize:	50	 Generationsize:	[I@4554617c	 in 	1396.0ms
Test GP with Populationsize:	50	 Generationsize:	[I@4554617c	 in 	1343.0ms
Test DS with Populationsize:	50	 Generationsize:	[I@4554617c	 in 	1385.0ms
Test GA with Populationsize:	50	 Generationsize:	[I@4554617c	 in 	2860.0ms
Test GP with Populationsize:	50	 Generationsize:	[I@4554617c	 in 	2703.0ms
Test DS with Populationsize:	50	 Generationsize:	[I@4554617c	 in 	2786.0ms
Test GA with Populationsize:	100	 Generationsize:	[I@4554617c	 in 	564.0ms
Test GP with Populationsize:	100	 Generationsize:	[I@4554617c	 in 	546.0ms
Test DS with Populationsize:	100	 Generationsize:	[I@4554617c	 in 	567.0ms
Test GA with Populationsize:	100	 Generationsize:	[I@4554617c	 in 	1396.0ms
Test GP with Populationsize:	100	 Generationsize:	[I@4554617c	 in 	1355.0ms
Test DS with Populationsize:	100	 Generationsize:	[I@4554617c	 in 	1578.0ms
Test GA with Populationsize:	100	 Generationsize:	[I@4554617c	 in 	2781.0ms
Test GP with Populationsize:	100	 Generationsize:	[I@4554617c	 in 	2708.0ms
Test DS with Populationsize:	100	 Generationsize:	[I@4554617c	 in 	3168.0ms
Test GA with Populationsize:	100	 Generationsize:	[I@4554617c	 in 	5565.0ms
Test GP with Populationsize:	100	 Generationsize:	[I@4554617c	 in 	5407.0ms
Test DS with Populationsize:	100	 Generationsize:	[I@4554617c	 in 	6311.0ms
Test GA with Populationsize:	200	 Generationsize:	[I@4554617c	 in 	1133.0ms
Test GP with Populationsize:	200	 Generationsize:	[I@4554617c	 in 	1088.0ms
Test DS with Populationsize:	200	 Generationsize:	[I@4554617c	 in 	1409.0ms
Test GA with Populationsize:	200	 Generationsize:	[I@4554617c	 in 	2823.0ms
Test GP with Populationsize:	200	 Generationsize:	[I@4554617c	 in 	2737.0ms
Test DS with Populationsize:	200	 Generationsize:	[I@4554617c	 in 	3524.0ms
Test GA with Populationsize:	200	 Generationsize:	[I@4554617c	 in 	5598.0ms
Test GP with Populationsize:	200	 Generationsize:	[I@4554617c	 in 	5427.0ms
Test DS with Populationsize:	200	 Generationsize:	[I@4554617c	 in 	6234.0ms
Test GA with Populationsize:	200	 Generationsize:	[I@4554617c	 in 	11157.0ms
Test GP with Populationsize:	200	 Generationsize:	[I@4554617c	 in 	10856.0ms
Test DS with Populationsize:	200	 Generationsize:	[I@4554617c	 in 	11141.0ms
File Name: 	pcb442.tsp
Test GA with Populationsize:	20	 Generationsize:	[I@4554617c	 in 	631.0ms
Test GP with Populationsize:	20	 Generationsize:	[I@4554617c	 in 	470.0ms
Test DS with Populationsize:	20	 Generationsize:	[I@4554617c	 in 	437.0ms
Test GA with Populationsize:	20	 Generationsize:	[I@4554617c	 in 	1251.0ms
